STIS,SampleEventFK,StationCode,DFS,Month,Area
7620,Fren18_August,Fren18,Midshore,Aug,GB
7621,Fren18_August,Fren18,Midshore,Aug,GB
7623,Fren46_August,Fren46,Midshore,Aug,GB
7624,Fren46_August,Fren46,Midshore,Aug,GB
7625,Fren46_August,Fren46,Midshore,Aug,GB
7626,Fren46_August,Fren46,Midshore,Aug,GB
7627,Fren82_August,Fren82,Offshore,Aug,GB
7629,Fren82_August,Fren82,Offshore,Aug,GB
7630,Fren82_August,Fren82,Offshore,Aug,GB
7631,Parr05_August,Parr05,Nearshore,Aug,GB
7632,Parr18_August,Parr18,Midshore,Aug,GB
7633,Parr18_August,Parr18,Midshore,Aug,GB
7634,Parr18_August,Parr18,Midshore,Aug,GB
7636,Parr46_August,Parr46,Midshore,Aug,GB
7638,Parr46_August,Parr46,Midshore,Aug,GB
7639,Parr46_August,Parr46,Midshore,Aug,GB
7640,Parr82_August,Parr82,Offshore,Aug,GB
7642,Parr82_August,Parr82,Offshore,Aug,GB
7643,Parr82_August,Parr82,Offshore,Aug,GB
7644,Nott05_August,Nott05,Nearshore,Aug,GB
7645,Nott18_August,Nott18,Midshore,Aug,GB
7646,Nott18_August,Nott18,Midshore,Aug,GB
7647,Nott18_August,Nott18,Midshore,Aug,GB
7648,Nott18_August,Nott18,Midshore,Aug,GB
7648,Nott18_August,Nott18,Midshore,Aug,GB
7649,Nott46_August,Nott46,Midshore,Aug,GB
7651,Nott46_August,Nott46,Midshore,Aug,GB
7652,Nott46_August,Nott46,Midshore,Aug,GB
7653,Nott82_August,Nott82,Offshore,Aug,GB
7655,Nott82_August,Nott82,Offshore,Aug,GB
7656,Nott82_August,Nott82,Offshore,Aug,GB
7658,Saug18_August,Saug18,Midshore,Aug,NMB
7659,Saug18_August,Saug18,Midshore,Aug,NMB
7660,Saug18_August,Saug18,Midshore,Aug,NMB
7662,Saug46_August,Saug46,Midshore,Aug,NMB
7664,Saug46_August,Saug46,Midshore,Aug,NMB
7665,Saug46_August,Saug46,Midshore,Aug,NMB
7666,Saug82_August,Saug82,Offshore,Aug,NMB
7668,Saug82_August,Saug82,Offshore,Aug,NMB
7669,Saug82_August,Saug82,Offshore,Aug,NMB
7670,Mait05_August,Mait05,Nearshore,Aug,SMB
7671,Mait18_August,Mait18,Midshore,Aug,SMB
7672,Mait18_August,Mait18,Midshore,Aug,SMB
7673,Mait18_August,Mait18,Midshore,Aug,SMB
7674,Mait05_August,Mait05,Nearshore,Aug,SMB
7675,Mait46_August,Mait46,Midshore,Aug,SMB
7677,Mait46_August,Mait46,Midshore,Aug,SMB
7678,Mait46_August,Mait46,Midshore,Aug,SMB
7679,Mait73_August,Mait73,Offshore,Aug,SMB
7681,Mait73_August,Mait73,Offshore,Aug,SMB
7682,Mait73_August,Mait73,Offshore,Aug,SMB
7683,Harb05_August,Harb05,Nearshore,Aug,SMB
7684,Harb18_August,Harb18,Midshore,Aug,SMB
