STIS,NH4,NOx,SRP,TN,TP,K,Na,Ca,Mg,Cl,SO4,chla,DOC
7306,11.8,209,4.82,361,12.1,0.89,4.04,22.68,6.12,6.45,13.13,0.4313,2.72
7307,6.68,205,3.8,331,3.23,0.89,4.04,22.21,6.2,6.48,13.24,0.4521,2.51
7308,15.4,221,5.03,340,12.9,0.9,4.11,22.97,6.38,6.53,13.43,0.7405,2.49
7310,15.3,214,0.553,345,1.62,0.89,4.2,22.01,6.19,,,0.4045,2.18
7311,15.9,236,4.92,358,5.6,0.97,4.4,24.09,6.8,,,0.6707,1.91
7312,12.4,132,4.08,367,6.04,0.92,4.07,23.98,6.72,,,0.617,1.74
7314,15.7,226,3.91,354,5.52,0.92,4.02,22.78,6.58,6.79,14.03,0.3172,2.07
7315,9.83,244,3.96,402,4.99,0.81,3.11,20.9,5.4,6.91,14.22,0.9548,1.94
7316,18.5,253,4.56,377,14.3,0.83,3.13,21.58,5.56,6.93,14.34,0.6341,1.9
7318,18.1,214,3.9,346,1.61,0.76,3.39,19,4.66,,,0.5164,2.61
7319,16.3,210,3.8,369,5.89,0.8,3.42,19.66,4.72,,,0.5114,2.48
7320,26.6,223,5.68,357,1.34,0.88,4.63,23.49,6.41,,,0.7334,2.38
7322,19.4,227,5.17,387,17.4,0.89,4.51,23.68,6.25,,,0.5523,2.31
7324,22.7,255,5.48,374,4.2,0.9,4.18,24.96,6.79,,,0.2854,2.14
7325,15.5,231,4.57,353,0.61,0.89,4.32,22.1,6.65,,,1.1962,2.34
7326,14.5,244,4.53,381,0.61,0.95,4.4,22.14,6.68,,,0.3265,2.21
7328,15.4,245,4.58,358,0.61,0.96,4.41,22.43,6.65,,,0.2917,2.3
7329,8.81,242,4.41,389,0.61,0.97,4.38,22.74,6.8,,,1.1455,2.37
7330,15,250,4.37,411,0.61,1,4.7,23.77,6.81,7.47,14.01,1.2309,2.67
7331,13.5,226,4.31,399,0.61,0.97,4.44,22.94,6.76,7.06,13.95,0.5846,2.42
7332,22,240,5.38,382,0.61,0.98,4.43,23.15,6.71,7.01,14.24,0.5971,2.23
