SiteID, Epischuralacustris, Eurytemoracarolleea, Leptodiaptomusashlandi, Leptodiaptomusminutus, Leptodiaptomussicilis, Limnocalanusmacrurus, Senecellacalanoides, Skistodiaptomusoregonensis, Diacyclopsnanus, Diacyclopsthomasi, Mesocyclopsedax, Microcyclopsvaricans, Tropocyclopsprasinusmexicanus, Alonaspp, Alonella, Bosminalongirostris, Bosminaspp, Bythotrepheslongimanus, Cercopagispengoi, Ceriodaphniaspp, Chydorussp, Daphniagaleatamendotae, Daphnialongiremis, Daphniaparvula, Daphniaretrocurva, Daphniaspp, Diaphanosomaspp, Eubosminacoregoni, Eurycercuslamellatus, Holopediumgibberum, Leptodorakindti, Polyphemuspediculus, Harpacticoidcopepodites, Calanoidcopepodites, Epischuracopepodites, Limnocalanuscopepodites, Senecellacopepodites, Cyclopscopepodites, Mysisdiluviana
 Ztx153-22578 ,114,0,456,684,0,0,0,19,0,323,285,0,38,0,0,912,114,30,0,0,19,0,0,0,0,0,0,0,0,703,0,0,19,4199,646,0,0,2812,0
 Ztx153-22126 ,0,0,851,3367,259,111,0,74,0,2923,0,0,0,0,0,666,74,1,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,5957,74,296,407,1554,0
 Ztx153-22582 ,105,0,939,2363,70,140,0,0,0,730,174,0,0,0,0,4413,70,50,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,5143,973,0,0,4240,0
 Ztx153-22118 ,80,0,30,810,90,10,0,10,0,600,70,0,0,0,0,760,60,3,0,0,0,0,0,0,0,0,0,0,0,50,0,10,10,1930,560,50,10,680,0
 Ztx153-22130 ,0,0,1740,6569,1479,0,44,0,0,5612,44,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7091,0,609,44,914,0
 Ztx153-22306 ,187,0,267,960,27,0,0,240,0,0,0,0,27,0,0,3973,0,27,0,0,27,3867,0,0,0,0,0,0,0,0,0,0,0,4213,267,0,0,1387,0
 Ztx153-22330 ,194,0,0,608,0,0,0,0,0,0,24,0,73,24,24,706,0,29,0,0,0,3431,0,0,0,0,0,0,24,0,0,0,0,4550,1995,0,0,973,0
 Ztx153-22346 ,284,0,740,0,0,0,0,63,0,0,16,0,79,16,0,142,0,25,0,0,0,677,0,0,0,0,0,0,0,0,0,0,0,2536,1575,0,0,866,0
 Ztx153-22154 ,18,0,270,162,162,24,0,6,0,156,18,0,0,0,0,366,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,6,816,102,12,6,372,0
 Ztx153-22314 ,578,0,85,289,34,0,0,68,0,34,51,0,0,0,0,1615,0,42,0,0,0,816,0,0,0,0,0,17,0,0,0,0,0,2142,1207,0,0,527,0
