STIS,Depth,NH4,NOx,SRP,TN,TP,K,Na,Ca,Mg,Cl,SO4,chla,DOC,TSS,VSS
7167,Mid,11.06,251.6,3.76,381,2.4,0.87,4.36,23.6,6.61,7.02,14.24,0.6607,3.16,0.15,0.13
7168,Epi,6.29,247.6,2.62,360,0.61,0.88,4.34,24,6.79,7.03,14.07,0.6228,1.87,0.297,0.113
7169,Mid,6.55,246.8,2.13,349,0.61,0.89,4.38,23.42,6.98,7.03,14.16,0.7172,1.9,0.364,0.221
7170,Bottom ,5.76,242.5,2.09,354,0.61,0.88,4.39,24.59,7,7.04,14.13,0.7055,1.94,0.272,0.128
7172,Epi,15.47,263.5,2.12,362,2.87,0.86,4.4,23.44,6.81,7.04,14.02,0.6571,2.35,0.395,0.205
7174,Bottom ,11,263.5,2.28,245,1.67,0.87,4.42,23.69,6.85,7.13,14.2,0.5492,1.75,0.116,0.005
7175,Mid,7.85,264.5,2.43,297,2.46,0.87,4.44,24.29,6.97,7.09,14.2,0.8441,1.81,0.295,0.175
7176,Epi,6.98,265.6,1.97,379,1.69,0.89,4.48,25,7.06,7.26,14.12,0.521,1.89,0.325,0.275
7178,Bottom ,8.59,268.8,1.99,378,0.61,0.89,4.48,24.64,7,7.18,14.26,0.4912,1.79,0.22,0.125
7179,Mid,7.77,266.4,2.9,374,1.61,0.9,4.42,24.91,7.06,7.2,14.24,1.232,1.79,0.225,0.195
7180,Epi,8.22,316.2,1.97,422,2.39,0.94,4.44,27.04,7.84,7.1,15.83,0.4254,2,0.36,0.17
7181,Mid,5.22,315.1,2.03,422,2.17,0.93,4.27,25.61,7.59,7.16,15.99,0.4217,1.87,0.255,0.21
7182,Bottom ,17.29,319.3,2.07,413,0.61,1,4.51,24.06,7.83,7.19,15.8,0.4041,1.82,0.155,-0.035
7184,Epi,4.75,310.7,1.88,407,1.39,1.03,4.53,25.52,7.86,7.06,15.71,0.4481,1.66,0.335,0.135
7185,Mid,5.46,294.5,1.82,402,2.85,1.05,4.57,25.98,7.92,7.05,15.75,0.6281,1.62,0.19,0.14
7186,Bottom ,11.9,277,4.04,366,2.55,1.01,4.44,24.94,7.83,7.06,15.79,0.4582,1.57,0.095,0.07
7188,Epi,14.2,299,4.53,405,1.26,1.03,4.52,24.97,7.71,7.05,15.71,0.3809,1.46,0.09,0.02
7189,Mid,12.1,293,3.64,399,1.28,1.05,4.55,25.4,7.84,7.02,15.68,0.4699,1.46,0.125,0.14
7190,Bottom ,17.3,299,4.43,427,0.61,1.06,4.57,25.68,7.74,7.02,15.72,0.2955,1.4,0.01,0.075
7192,Epi,20.4,378,9.47,489,2.47,1.1,4.88,26.84,8.34,7.47,16.23,0.7912,1.8,0.31,0.22
7193,Mid,9.24,344,4.77,516,0.61,1.09,4.74,27.02,8.16,7.48,16.17,0.678666667,1.65,0.38,0.23
7194,Bottom ,18.5,356,5.24,476,11.3,1,4.44,27.84,7.91,7.46,16.16,0.597066667,1.7,0.34,0.2
7196,Epi,12.6,358,5.42,461,13.1,1.01,4.43,27.41,7.83,7.41,16.19,0.545,1.59,0.27,0.08
7198,Bottom ,16.3,299,3.99,423,2.51,1,4.44,26.33,7.75,7.32,16.1,0.8192,1.67,0.369,0.154
7199,Mid,13.6,297,4.51,423,2.93,0.98,4.42,26.25,7.58,7.29,15.93,0.8498,1.52,0.525,0.235
7200,Epi,9.97,359,3.95,473,2.35,1.03,4.4,25.41,7.68,7.35,16.16,0.741,1.58,0.29,0.15
7202,Bottom ,24,290,4.72,401,1.37,1,4.4,25.69,7.7,7.19,15.96,0.422,1.54,0.155,0.03
