STIS,Month,MonthPeriod,Ship,Lake,Site,Area,DFS,Research Project,UnifiedDate,Collection Date,TimeEST, SiteDepthm,Depth,Separatedepthsm,DCL,StratifiedUnstratified,NH4ugNL ,NOxugNL,SRPugPL,TNugNL,TPugPL,KmgL,NamgL,CamgL,MgmgL,ClmgL,SO4mgL,DOCmgCL,SimgSiO2L,chlaugL
22110A,Aug,Aug,LEII,Lake Huron,French River 46,GB,Midshore,CSMI,8/12/2022,8/12/2022,11:30,42.7,Epi,5,Yes,Stratified,17.4,230,2.45,336,4.08,0.89,4.11,20.77,6.18,7.32,12.61,2.32,3.68,0.59
22112A,Aug,Aug,LEII,Lake Huron,French River 46,GB,Midshore,CSMI,8/12/2022,8/12/2022,11:30,42.7,Bottom,40,Yes,Stratified,27.3,338,2.87,359,3.54,0.86,4.3,21.75,6.52,7.53,12.98,2.27,4.47,0.53
22113A,Aug,Aug,LEII,Lake Huron,French River 46,GB,Midshore,CSMI,8/12/2022,8/12/2022,11:30,42.7,Mid,26,Yes,Stratified,24.5,334,3.68,371,5.04,0.85,4.26,21.46,6.41,7.55,12.89,2.34,4,1.09
22102A,Aug,Aug,LEII,Lake Huron,French River 5,GB,Nearshore,CSMI,8/12/2022,8/12/2022,13:34,13,Epi,5,No,Stratified,16.3,164,2.54,301,5.06,0.93,4.04,19.23,5.67,6.75,11.33,2.93,2.74,1.44
22114,June,L June,LEII,Lake Huron,French River 82,GB,Offshore,CSMI,6/14/2022,6/14/2022,14:07,80,Epi,5,No,Stratified,21.1,257.16,2.54,390,6.85,0.85,4.33,21.1,6.39,6.99,14.32,1.97,4.34,0.37
22115,June,L June,LEII,Lake Huron,French River 82,GB,Offshore,CSMI,6/14/2022,6/14/2022,14:07,80,Mid,40,No,Stratified,17.2,261.64,2.76,430,4.92,0.83,4.34,21.19,6.53,6.62,13.49,2.12,4.47,0.99
22116,June,L June,LEII,Lake Huron,French River 82,GB,Offshore,CSMI,6/14/2022,6/14/2022,14:07,80,Bottom,76,No,Stratified,11.6,219.52,2.49,390,4.83,0.81,4.3,21.17,6.53,7.1,14.52,2.13,4.37,0.65
22114A,Aug,Aug,LEII,Lake Huron,French River 82,GB,Offshore,CSMI,8/12/2022,8/12/2022,9:15,78.6,Epi,5,Yes,Stratified,65.9,359,2.5,371,6.1,0.86,4.32,22.72,6.88,7.71,13.62,2.37,3.62,0.52
22116A,Aug,Aug,LEII,Lake Huron,French River 82,GB,Offshore,CSMI,8/12/2022,8/12/2022,9:15,78.6,Bottom,76,Yes,Stratified,55,382,2.9,370,3.99,0.87,4.25,22.14,6.66,7.67,13.37,2.26,4.32,0.34
22117A,Aug,Aug,LEII,Lake Huron,French River 82,GB,Offshore,CSMI,8/12/2022,8/12/2022,9:15,78.6,Mid,36,Yes,Stratified,76.2,357,2.97,400,5.97,0.84,4.22,22.15,6.69,7.68,13.31,2.35,4.43,1
22162,June,E June,LEII,Lake Huron,Harbor Beach 18,SMB,Midshore,CSMI,6/7/2022,6/7/2022,7:45,18.4,Epi,5,No,Unstratified,11.1,351,2.01,471,7.23,0.97,4.83,23.35,7.64,8.83,16.29,2.23,4.17,0.88
22163,June,E June,LEII,Lake Huron,Harbor Beach 18,SMB,Midshore,CSMI,6/7/2022,6/7/2022,7:45,18.4,Mid,10,No,Unstratified,9.81,359,2.04,501,6.35,0.93,4.85,24.77,7.78,8.76,16.3,1.96,4.54,0.75
22164,June,E June,LEII,Lake Huron,Harbor Beach 18,SMB,Midshore,CSMI,6/7/2022,6/7/2022,7:45,18.4,Bottom,16,No,Unstratified,16.6,356,2.92,460,6.86,0.91,4.82,23.73,7.62,8.65,16.29,2.23,4.17,0.69
22318,June,L June,USGS,Lake Huron,Harbor Beach 18,SMB,Midshore,CSMI -USGS biweekly sampling,6/19/2022,6/19/2022,,,Epi,5,,,,,,487,4.29,,,,,,,,,0.77
22319,June,L June,USGS,Lake Huron,Harbor Beach 18,SMB,Midshore,CSMI -USGS biweekly sampling,6/19/2022,6/19/2022,,,Mid,10,,,,,,588,3.96,,,,,,,,,0.74
22320,June,L June,USGS,Lake Huron,Harbor Beach 18,SMB,Midshore,CSMI -USGS biweekly sampling,6/19/2022,6/19/2022,,,Bottom,15,,,,,,517,3.35,,,,,,,,,0.59
22334,July,E July,USGS,Lake Huron,Harbor Beach 18,SMB,Midshore,CSMI -USGS biweekly sampling,7/10/2022,7/10/2022,,,Epi,5,,,,,,491,1.99,,,,,,,,,0.85
22335,July,E July,USGS,Lake Huron,Harbor Beach 18,SMB,Midshore,CSMI -USGS biweekly sampling,7/10/2022,7/10/2022,,,Mid,10,,,,,,567,5.18,,,,,,,,,0.78
22336,July,E July,USGS,Lake Huron,Harbor Beach 18,SMB,Midshore,CSMI -USGS biweekly sampling,7/10/2022,7/10/2022,,,Bottom,15,,,,,,592,3.43,,,,,,,,,0.83
22358,July,L July,USGS,Lake Huron,Harbor Beach 18,SMB,Midshore,CSMI -USGS biweekly sampling,7/17/2022,7/17/2022,,,Epi,5,,,,,,430,3.37,,,,,,,,,0.68
22359,July,L July,USGS,Lake Huron,Harbor Beach 18,SMB,Midshore,CSMI -USGS biweekly sampling,7/17/2022,7/17/2022,,,Mid,15,,,,,,504,2.72,,,,,,,,,0.92
22360,July,L July,USGS,Lake Huron,Harbor Beach 18,SMB,Midshore,CSMI -USGS biweekly sampling,7/17/2022,7/17/2022,,,Bottom,16,,,,,,508,4.11,,,,,,,,,0.92
