STIS,StationCode,DFS,Month,Area,Year
22112,French River 46,Midshore,June,GB,2022
22114,French River 82,Offshore,June,GB,2022
22115,French River 82,Offshore,June,GB,2022
22116,French River 82,Offshore,June,GB,2022
22118,Parry Sound 5,Nearshore,June,GB,2022
22122,Parry Sound 18,Midshore,June,GB,2022
22123,Parry Sound 18,Midshore,June,GB,2022
22124,Parry Sound 18,Midshore,June,GB,2022
22126,Parry Sound 46,Midshore,June,GB,2022
22127,Parry Sound 46,Midshore,June,GB,2022
22128,Parry Sound 46,Midshore,June,GB,2022
22130,Parry Sound 82,Offshore,June,GB,2022
22131,Parry Sound 82,Offshore,June,GB,2022
22132,Parry Sound 82,Offshore,June,GB,2022
22134,Nottawasaga River 5,Nearshore,June,GB,2022
22138,Nottawasaga River 18,Midshore,June,GB,2022
22139,Nottawasaga River 18,Midshore,June,GB,2022
22140,Nottawasaga River 18,Midshore,June,GB,2022
22142,Nottawasaga River 46,Midshore,June,GB,2022
22143,Nottawasaga River 46,Midshore,June,GB,2022
22144,Nottawasaga River 46,Midshore,June,GB,2022
22146,Nottawasaga River 82,Offshore,June,GB,2022
22148,Nottawasaga River 82,Offshore,June,GB,2022
22149,Nottawasaga River 82,Offshore,June,GB,2022
22150,Saginaw Bay 9,Nearshore,June,SB,2022
22154,Saginaw Bay 13,Nearshore,June,SB,2022
22156,Saginaw Bay 13,Nearshore,June,SB,2022
22158,Harbor Beach 5,Nearshore,June,SMB,2022
22162,Harbor Beach 18,Midshore,June,SMB,2022
22163,Harbor Beach 18,Midshore,June,SMB,2022
22164,Harbor Beach 18,Midshore,June,SMB,2022
22166,Harbor Beach 46,Midshore,June,SMB,2022
22167,Harbor Beach 46,Midshore,June,SMB,2022
22168,Harbor Beach 46,Midshore,June,SMB,2022
22170,Harbor Beach 63,Offshore,June,SMB,2022
22171,Harbor Beach 63,Offshore,June,SMB,2022
22172,Harbor Beach 63,Offshore,June,SMB,2022
22174,Maitland River 5,Nearshore,June,SMB,2022
22178,Maitland River 18,Midshore,June,SMB,2022
22179,Maitland River 18,Midshore,June,SMB,2022
22180,Maitland River 18,Midshore,June,SMB,2022
22182,Maitland River 46,Midshore,June,SMB,2022
22183,Maitland River 46,Midshore,June,SMB,2022
22184,Maitland River 46,Midshore,June,SMB,2022
22186,Maitland River 73,Offshore,June,SMB,2022
22188,Maitland River 73,Offshore,June,SMB,2022
22189,Maitland River 73,Offshore,June,SMB,2022
22190,Saugeen River 18,Midshore,June,NMB,2022
22191,Saugeen River 18,Midshore,June,NMB,2022
22192,Saugeen River 18,Midshore,June,NMB,2022
22194,Saugeen River 46,Midshore,June,NMB,2022
22195,Saugeen River 46,Midshore,June,NMB,2022
22196,Saugeen River 46,Midshore,June,NMB,2022
22198,Saugeen River 82,Offshore,June,NMB,2022
22199,Saugeen River 82,Offshore,June,NMB,2022
22200,Saugeen River 82,Offshore,June,NMB,2022
22206,Boot Island 18,Midshore,June,NMB,2022
22207,Boot Island 18,Midshore,June,NMB,2022
22208,Boot Island 18,Midshore,June,NMB,2022
22210,Boot Island 46,Midshore,June,NMB,2022
22211,Boot Island 46,Midshore,June,NMB,2022
22212,Boot Island 46,Midshore,June,NMB,2022
22214,Boot Island 73,Offshore,June,NMB,2022
22216,Boot Island 73,Offshore,June,NMB,2022
22217,Boot Island 73,Offshore,June,NMB,2022
22218,Thessalon River 18,Midshore,June,NC,2022
22222,Thessalon River 18,Midshore,June,NC,2022
22223,Thessalon River 18,Midshore,June,NC,2022
22224,Thessalon River 18,Midshore,June,NC,2022
22226,Thessalon River 46,Midshore,June,NC,2022
22227,Thessalon River 46,Midshore,June,NC,2022
22228,Thessalon River 46,Midshore,June,NC,2022
22230,Thessallon River 46 Off,Offshore,June,NC,2022
22231,Thessallon River 46 Off,Offshore,June,NC,2022
22232,Thessallon River 46 Off,Offshore,June,NC,2022
22252,Boot Island 18,Midshore,July,NMB,2022
22253,Boot Island 18,Midshore,July,NMB,2022
22254,Boot Island 18,Midshore,July,NMB,2022
22256,Boot Island 46,Midshore,July,NMB,2022
22257,Boot Island 46,Midshore,July,NMB,2022
22258,Boot Island 46,Midshore,July,NMB,2022
22260,Boot Island 73,Offshore,July,NMB,2022
22262,Boot Island 73,Offshore,July,NMB,2022
22263,Boot Island 73,Offshore,July,NMB,2022
22264,Thessalon River 18,Midshore,July,NC,2022
22265,Thessalon River 18,Midshore,July,NC,2022
22266,Thessalon River 18,Midshore,July,NC,2022
22268,Thessalon River 46,Midshore,July,NC,2022
22269,Thessalon River 46,Midshore,July,NC,2022
22270,Thessalon River 46,Midshore,July,NC,2022
22272,Thessallon River 46 Off,Offshore,July,NC,2022
22273,Thessallon River 46 Off,Offshore,July,NC,2022
22274,Thessallon River 46 Off,Offshore,July,NC,2022
22282,Boot Island 18,Midshore,Early June,NMB,2022
22283,Boot Island 18,Midshore,Early June,NMB,2022
22284,Boot Island 18,Midshore,Early June,NMB,2022
22286,Boot Island 46,Midshore,Early June,NMB,2022
22287,Boot Island 46,Midshore,Early June,NMB,2022
22288,Boot Island 46,Midshore,Early June,NMB,2022
22290,Boot Island 73,Offshore,Early June,NMB,2022
22291,Boot Island 73,Offshore,Early June,NMB,2022
22292,Boot Island 73,Offshore,Early June,NMB,2022
22294,Thessallon River 18,Midshore,Early June,NC,2022
22295,Thessallon River 18,Midshore,Early June,NC,2022
22296,Thessallon River 18,Midshore,Early June,NC,2022
22298,Thessallon River 46,Midshore,Early June,NC,2022
22299,Thessallon River 46,Midshore,Early June,NC,2022
22300,Thessallon River 46,Midshore,Early June,NC,2022
22302,Thessallon River 46 Off,Offshore,Early June,NC,2022
22304,Thessallon River 46 Off,Offshore,Early June,NC,2022
22305,Thessallon River 46 Off,Offshore,Early June,NC,2022
22306,Saginaw Bay 10,Nearshore,Late June,SB,2022
22308,Saginaw Bay 10,Nearshore,Late June,SB,2022
22309,Saginaw Bay 10,Nearshore,Late June,SB,2022
22310,Saginaw Bay 9,Nearshore,Late June,SB,2022
22313,Saginaw Bay 9,Nearshore,Late June,SB,2022
22314,Saginaw Bay 13,Nearshore,Late June,SB,2022
22315,Saginaw Bay 13,Nearshore,Late June,SB,2022
22318,Harbor Beach 18,Midshore,Late June,SMB,2022
22319,Harbor Beach 18,Midshore,Late June,SMB,2022
22320,Harbor Beach 18,Midshore,Late June,SMB,2022
22322,Harbor Beach 46,Midshore,Late June,SMB,2022
